2026-05-09 00:27:26 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=27)
2026-05-09 00:27:26 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:27:26 | INFO    | process_company:2607 |     Metrics: 46 | decum: True
2026-05-09 00:27:26 | WARNING | process_company:2628 |     ✗ SANITY BLOCK: 2 rule(s) triggered. Action: BLOCK.
2026-05-09 00:27:26 | WARNING | process_company:2687 |     ✗ LLM skipped — sanity BLOCK
2026-05-09 00:27:26 | INFO    | process_company:2553 |   ▶ 10-Q | 2024-12-28 | 0000320193-25-000008
2026-05-09 00:27:27 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:27:27 | DEBUG   | decumulate_10q_metrics:1649 |     De-cumulate Q4: rev $124.3B YTD → $-171.8B discrete
2026-05-09 00:27:28 | DEBUG   | get_narrative_doc:1242 |   Fast-path (715KB, score=24): aapl-20241228.htm
2026-05-09 00:27:29 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=24)
2026-05-09 00:27:29 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:27:29 | INFO    | process_company:2607 |     Metrics: 46 | decum: True
2026-05-09 00:27:29 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2024-12-28 vs 2023-12-30
2026-05-09 00:27:29 | WARNING | process_company:2628 |     ✗ SANITY BLOCK: 2 rule(s) triggered. Action: BLOCK.
2026-05-09 00:27:29 | WARNING | process_company:2687 |     ✗ LLM skipped — sanity BLOCK
2026-05-09 00:27:29 | INFO    | process_company:2553 |   ▶ 10-Q | 2025-03-29 | 0000320193-25-000057
2026-05-09 00:27:29 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:27:30 | DEBUG   | get_narrative_doc:1242 |   Fast-path (869KB, score=27): aapl-20250329.htm
2026-05-09 00:27:30 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=27)
2026-05-09 00:27:30 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:27:30 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:27:30 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2025-03-29 vs 2024-03-30
2026-05-09 00:27:39 | INFO    | process_company:2664 |     ✓ [FULL|Q=85|tier=silver|decum=False|qa=True]: 1189 chars
2026-05-09 00:27:42 | INFO    | process_company:2682 |     ✓ Negative examples: 1 scenarios
2026-05-09 00:27:42 | INFO    | process_company:2553 |   ▶ 10-Q | 2025-06-28 | 0000320193-25-000073
2026-05-09 00:27:43 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:27:43 | DEBUG   | decumulate_10q_metrics:1649 |     De-cumulate Q2: rev $313.7B YTD → $94.0B discrete
2026-05-09 00:27:44 | DEBUG   | get_narrative_doc:1242 |   Fast-path (867KB, score=27): aapl-20250628.htm
2026-05-09 00:27:44 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=27)
2026-05-09 00:27:44 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:27:44 | INFO    | process_company:2607 |     Metrics: 46 | decum: True
2026-05-09 00:27:44 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2025-06-28 vs 2024-06-29
2026-05-09 00:28:01 | INFO    | process_company:2664 |     ✓ [FULL|Q=100|tier=gold|decum=True|qa=True]: 1294 chars
2026-05-09 00:28:01 | INFO    | process_company:2553 |   ▶ 10-Q | 2025-12-27 | 0000320193-26-000006
2026-05-09 00:28:01 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:02 | DEBUG   | decumulate_10q_metrics:1649 |     De-cumulate Q4: rev $143.8B YTD → $-169.9B discrete
2026-05-09 00:28:02 | DEBUG   | get_narrative_doc:1242 |   Fast-path (748KB, score=24): aapl-20251227.htm
2026-05-09 00:28:02 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=24)
2026-05-09 00:28:02 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:28:02 | INFO    | process_company:2607 |     Metrics: 46 | decum: True
