2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:05:11 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:05:11 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=7]: 2281 chars
2026-05-11 23:05:11 | INFO    | process_company:3811 |   ▶ 10-K | 2023-09-30 | 0000320193-23-000106
2026-05-11 23:05:12 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=+5.66% SPY=+1.36% abnormal=+4.30%
2026-05-11 23:05:12 | INFO    | process_company:3828 |     AR: +4.30% (positive)
2026-05-11 23:05:15 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:05:15 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 5045 chars
2026-05-11 23:05:15 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:05:15 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:05:15 | INFO    | process_company:3898 |     Metrics:47 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:05:15 | INFO    | process_company:3932 |     ⚠ Liquidity paradox: CR=0.99 + Cash=$30.0B | Risk=HIGH
2026-05-11 23:05:17 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=18, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:05:17 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:05:18 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=6]: 2227 chars
2026-05-11 23:05:18 | INFO    | process_company:3811 |   ▶ 10-K | 2023-06-30 | 0000950170-23-035122
2026-05-11 23:05:18 | DEBUG   | fetch_abnormal_return:1146 |   AR MSFT: stock=-1.23% SPY=-0.81% abnormal=-0.42%
2026-05-11 23:05:18 | INFO    | process_company:3828 |     AR: -0.42% (neutral)
2026-05-11 23:05:28 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 645 chars, 6 connectors
2026-05-11 23:05:31 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
