2026-05-27 17:27:41 | INFO    | <module>:4619 | v21 RAG | tickers=1 | forms=['10-K', '10-Q'] | max_per_form=8 | filings_root=filings | resume=True
2026-05-27 17:27:41 | INFO    | build_filing_manifest:282 | Filing manifest: 13 tickers, 365 HTML files
2026-05-27 17:27:41 | INFO    | build_dataset_v21:4338 | Pre-indexing local filings into Qdrant…
2026-05-27 17:29:19 | INFO    | process_company_v21:3961 |   10-K: 7 filings (from manifest)
2026-05-27 17:29:19 | INFO    | process_company_v21:3973 |   ▶ 10-K | 2019-09-28 | 0000320193-19-000119
2026-05-27 17:29:20 | INFO    | process_company_v21:3991 |   AR: +2.62% (positive)
2026-05-27 17:29:26 | DEBUG   | rag_retrieve_text_sections:1213 |   RAG AAPL/2019/10-K: mda=5000, rf=5000, fs=5000, sections=5
2026-05-27 17:29:27 | INFO    | process_company_v21:4028 |   Segments found: 8 — ['Operating income', 'Segment operating income', 'Total operating income', 's net sales in', 'There was no single customer that accounted for more than', 'of net sales in', 'Net sales for', 'September']
2026-05-27 17:29:27 | INFO    | process_company_v21:4046 |   Metrics:48 | decum:False | rag_chars:25000 | scaling:millions | segments:8 | sections:5
2026-05-27 17:32:54 | INFO    | process_company_v21:4218 |   ✓ RAG-FULL [10-K|Q=80|tier=silver|auditor=1|causal=22|rag=25000chars]: 2258 chars
2026-05-27 17:32:54 | INFO    | process_company_v21:3973 |   ▶ 10-K | 2020-09-26 | 0000320193-20-000096
2026-05-27 17:32:54 | INFO    | process_company_v21:3991 |   AR: -0.33% (neutral)
2026-05-27 17:32:56 | DEBUG   | rag_retrieve_text_sections:1213 |   RAG AAPL/2020/10-K: mda=5000, rf=5000, fs=5000, sections=5
2026-05-27 17:32:56 | INFO    | process_company_v21:4028 |   Segments found: 8 — ['Operating income', 'Segment operating income', 'Total operating income', 's net sales in', 'There was no single customer that accounted for more than', 'of net sales in', 'Net sales for', 'and long-lived assets as of September']
2026-05-27 17:32:56 | INFO    | process_company_v21:4046 |   Metrics:48 | decum:False | rag_chars:25000 | scaling:thousands | segments:8 | sections:5
2026-05-27 17:32:56 | DEBUG   | validate:1510 |   CrossRef: text_rev=274515000 is >10× away from xbrl_rev=274515000000 — XBRL value kept
2026-05-27 17:34:27 | INFO    | process_company_v21:4218 |   ✓ RAG-FULL [10-K|Q=90|tier=gold|auditor=0|causal=11|rag=25000chars]: 2216 chars
2026-05-27 17:34:27 | INFO    | process_company_v21:3973 |   ▶ 10-K | 2021-09-25 | 0000320193-21-000105
2026-05-27 17:34:27 | INFO    | process_company_v21:3991 |   AR: -1.12% (neutral)
2026-05-27 17:34:30 | DEBUG   | rag_retrieve_text_sections:1213 |   RAG AAPL/2021/10-K: mda=5000, rf=5000, fs=5000, sections=5
2026-05-27 17:34:30 | INFO    | process_company_v21:4028 |   Segments found: 8 — ['Operating income', 'Segment operating income', 'Total operating income', 's net sales in', 'There was no single customer that accounted for more than', 'of net sales in', 'Net sales for', 'and long-lived assets as of September']
2026-05-27 17:34:30 | INFO    | process_company_v21:4046 |   Metrics:48 | decum:False | rag_chars:25000 | scaling:thousands | segments:8 | sections:5
2026-05-27 17:34:30 | DEBUG   | validate:1510 |   CrossRef: text_rev=365817000 is >10× away from xbrl_rev=365817000000 — XBRL value kept
2026-05-27 17:35:57 | INFO    | process_company_v21:4218 |   ✓ RAG-FULL [10-K|Q=90|tier=gold|auditor=0|causal=17|rag=25000chars]: 2269 chars
2026-05-27 17:35:57 | INFO    | process_company_v21:3973 |   ▶ 10-K | 2022-09-24 | 0000320193-22-000108
2026-05-27 17:35:57 | INFO    | process_company_v21:3991 |   AR: -6.15% (strong_negative)
2026-05-27 17:35:59 | DEBUG   | rag_retrieve_text_sections:1213 |   RAG AAPL/2022/10-K: mda=5000, rf=5000, fs=5000, sections=5
2026-05-27 17:35:59 | INFO    | process_company_v21:4028 |   Segments found: 8 — ['of revenue recognized in', 'that was included in deferred revenue as of September', 'billion of revenue recognized in', 'As of September', 'and September', 'the Company had total deferred revenue of', 'the Company expects', 'within two-to-three years and']
2026-05-27 17:35:59 | INFO    | process_company_v21:4046 |   Metrics:48 | decum:False | rag_chars:25000 | scaling:millions | segments:8 | sections:5
2026-05-27 17:37:35 | INFO    | process_company_v21:4218 |   ✓ RAG-FULL [10-K|Q=90|tier=gold|auditor=0|causal=12|rag=25000chars]: 2260 chars
2026-05-27 17:37:35 | INFO    | process_company_v21:3973 |   ▶ 10-K | 2023-09-30 | 0000320193-23-000106
2026-05-27 17:37:35 | INFO    | process_company_v21:3991 |   AR: +1.85% (neutral)
2026-05-27 17:37:37 | DEBUG   | rag_retrieve_text_sections:1213 |   RAG AAPL/2023/10-K: mda=5000, rf=5000, fs=5000, sections=5
2026-05-27 17:37:37 | INFO    | process_company_v21:4028 |   Segments found: 8 — ['As of September', 'and September', 'the Company had total deferred revenue of', 'the Company expects', 'within two-to-three years and', 'Net income', 'Weighted-average basic shares outstanding', 'Effect of dilutive share-based awards']
2026-05-27 17:37:37 | INFO    | process_company_v21:4046 |   Metrics:48 | decum:False | rag_chars:25000 | scaling:millions | segments:8 | sections:5
2026-05-27 17:38:23 | INFO    | process_company_v21:4218 |   ✓ RAG-FULL [10-K|Q=90|tier=gold|auditor=0|causal=7|rag=25000chars]: 2168 chars
2026-05-27 17:38:23 | INFO    | process_company_v21:3973 |   ▶ 10-K | 2024-09-28 | 0000320193-24-000123
2026-05-27 17:38:23 | INFO    | process_company_v21:3991 |   AR: -3.81% (negative)
